id,title,abstract,authors,year,source,category,similarity_score,rank,term_frequency
106,A systematic literature review on the cyber security,"… of cyber security kinds, why cyber security is important, cyber security framework, cyber
security tools, and cyber security … Cyber security safeguards the data and integrity of computing …","Y Perwej, SQ Abbas, JP Dixit, N Akhtar…",2021,International Journal of …,cyber security,0.8096294253132115,1,12
111,Analysis of cyber security knowledge gaps based on cyber security body of knowledge,"… gap between cyber security education and … in cyber security graduates who join the cyber
security workforce. We designed and performed an opinion survey by using the Cyber Security …","C Catal, A Ozcan, E Donmez, A Kasif",2023,Education and Information …,cyber security,0.659299901134164,2,8
132,The difference between cyber security vs information security,"… differences between cyber security and information security, … of security, which are part of
the umbrella term: cyber security… a difference between cyber security and information security, …","LA Alexei, A Alexei",2022,Journal of Engineering Science,cyber security,0.5951088189340263,3,5
129,"A comprehensive review of cyber security vulnerabilities, threats, attacks, and solutions","… In summary, cyber security ensures the security of virtual life on cyber networks. The … under
the name of cyber security [4]. The primary purpose of cyber security is to secure the data of …","Ö Aslan, SS Aktuğ, M Ozkan-Okay, AA Yilmaz, E Akin",2023,Electronics,cyber security,0.5902569593192583,4,8
139,The role of cyber security in a digitalizing economy: a development perspective,"… , cyber security and information security are not the same thing. (Spremić, 2018) in an article
titled “Cyber security … the transition from information security to cyber security, primarily as a …","CI Erondu, UI Erondu",2023,… journal of research and innovation in …,cyber security,0.582806092159297,5,6
137,Defining cyber security and cyber security risk within a multidisciplinary context using expert elicitation,"… cyber security risk. We used this expert elicitation process to develop comprehensive definitions
of cyber security (cybersecurity) and cyber security … significant cyber security risk factors. …","MG Cains, L Flora, D Taber, Z King…",2022,Risk Analysis,cyber security,0.5755930647432245,6,8
141,Evolution of the cyber security threat: an overview of the scale of cyber threat,"… technology security is another term that can be used interchangeably with cyber security. …
, rapid measures, and forward-looking perspectives about cyber security and cyber danger. …","T Fadziso, UR Thaduri, S Dekkati…",2023,Digitalization & …,cyber security,0.5467551102512547,7,5
123,Cyber resilience and cyber security issues of intelligent cloud computing systems,"… It is necessary to provide the cyber security of cloud computing according to the … the cyber
security of this technology is to accurately identify its threats. In this paper, a new cyber security …",F Abdullayeva,2023,Results in Control and Optimization,cyber security,0.5114626884312664,8,6
147,"Uniting cyber security and machine learning: Advantages, challenges and future research","… to the machine learning models, improves the performance of the cyber security … cyber
security and ML. We also discuss the advantages, issues and challenges of uniting cyber security …","M Wazid, AK Das, V Chamola, Y Park",2022,ICT express,cyber security,0.4902867275929031,9,6
116,Deep reinforcement learning for cyber security,"… , and especially high-dimensional cyber defense problems. This article presents a … for cyber
security. We touch on different vital aspects, including DRL-based security methods for cyber…","TT Nguyen, VJ Reddi",2021,IEEE Transactions on Neural Networks …,cyber security,0.4845849122638306,10,3
