id,title,full_text,cleaned,tokens,tokens_clean,tokens_stemmed,cleaned_text
1,Machine learning for microbiologists,"Machine learning for microbiologists … how to evaluate a machine learning model and how … machine learning-based work. The
topics presented in this work will allow microbiologists to grasp the potential of machine learning …",Machine learning for microbiologists how to evaluate a machine learning model and how machine learning based work The topics presented in this work will allow microbiologists to grasp the potential of machine learning,"['machine', 'learning', 'for', 'microbiologists', 'how', 'to', 'evaluate', 'a', 'machine', 'learning', 'model', 'and', 'how', 'machine', 'learning', 'based', 'work', 'the', 'topics', 'presented', 'in', 'this', 'work', 'will', 'allow', 'microbiologists', 'to', 'grasp', 'the', 'potential', 'of', 'machine', 'learning']","['machine', 'learning', 'for', 'microbiologists', 'how', 'to', 'evaluate', 'machine', 'learning', 'model', 'and', 'how', 'machine', 'learning', 'based', 'work', 'the', 'topics', 'presented', 'in', 'this', 'work', 'will', 'allow', 'microbiologists', 'to', 'grasp', 'the', 'potential', 'of', 'machine', 'learning']","['machine', 'learning', 'for', 'microbiologists', 'how', 'to', 'evaluate', 'machine', 'learning', 'model', 'and', 'how', 'machine', 'learning', 'based', 'work', 'the', 'topics', 'presented', 'in', 'this', 'work', 'will', 'allow', 'microbiologists', 'to', 'grasp', 'the', 'potential', 'of', 'machine', 'learning']",machine learning for microbiologists how to evaluate machine learning model and how machine learning based work the topics presented in this work will allow microbiologists to grasp the potential of machine learning
2,International conference on machine learning,"International conference on machine learning In this paper, we make the key delineation on the roles of resolution and statistical uncertainty
in hierarchical bandits-based black-box optimization algorithms, guiding a more general …",International conference on machine learning In this paper we make the key delineation on the roles of resolution and statistical uncertainty in hierarchical bandits based black box optimization algorithms guiding a more general,"['international', 'conference', 'on', 'machine', 'learning', 'in', 'this', 'paper', 'we', 'make', 'the', 'key', 'delineation', 'on', 'the', 'roles', 'of', 'resolution', 'and', 'statistical', 'uncertainty', 'in', 'hierarchical', 'bandits', 'based', 'black', 'box', 'optimization', 'algorithms', 'guiding', 'a', 'more', 'general']","['international', 'conference', 'on', 'machine', 'learning', 'in', 'this', 'paper', 'we', 'make', 'the', 'key', 'delineation', 'on', 'the', 'roles', 'of', 'resolution', 'and', 'statistical', 'uncertainty', 'in', 'hierarchical', 'bandits', 'based', 'black', 'box', 'optimization', 'algorithms', 'guiding', 'more', 'general']","['international', 'conference', 'on', 'machine', 'learning', 'in', 'this', 'paper', 'we', 'make', 'the', 'key', 'delineation', 'on', 'the', 'roles', 'of', 'resolution', 'and', 'statistical', 'uncertainty', 'in', 'hierarchical', 'bandits', 'based', 'black', 'box', 'optimization', 'algorithms', 'guiding', 'more', 'general']",international conference on machine learning in this paper we make the key delineation on the roles of resolution and statistical uncertainty in hierarchical bandits based black box optimization algorithms guiding more general
3,What is machine learning?,"What is machine learning? … that one can employ in machine learning (ML). The required … of two learning types: supervised
or unsupervised learning. … skills through either automated learning or learning via human …",What is machine learning that one can employ in machine learning ML The required of two learning types supervised or unsupervised learning skills through either automated learning or learning via human,"['what', 'is', 'machine', 'learning', 'that', 'one', 'can', 'employ', 'in', 'machine', 'learning', 'ml', 'the', 'required', 'of', 'two', 'learning', 'types', 'supervised', 'or', 'unsupervised', 'learning', 'skills', 'through', 'either', 'automated', 'learning', 'or', 'learning', 'via', 'human']","['what', 'is', 'machine', 'learning', 'that', 'one', 'can', 'employ', 'in', 'machine', 'learning', 'ml', 'the', 'required', 'of', 'two', 'learning', 'types', 'supervised', 'or', 'unsupervised', 'learning', 'skills', 'through', 'either', 'automated', 'learning', 'or', 'learning', 'via', 'human']","['what', 'is', 'machine', 'learning', 'that', 'one', 'can', 'employ', 'in', 'machine', 'learning', 'ml', 'the', 'required', 'of', 'two', 'learning', 'types', 'supervised', 'or', 'unsupervised', 'learning', 'skills', 'through', 'either', 'automated', 'learning', 'or', 'learning', 'via', 'human']",what is machine learning that one can employ in machine learning ml the required of two learning types supervised or unsupervised learning skills through either automated learning or learning via human
4,Amnesiac machine learning,"Amnesiac machine learning … It gives EU residents the ability to request deletion of their personal data, including training
records used to train machine learning models. Unfortunately, Deep Neural Network models …",Amnesiac machine learning It gives EU residents the ability to request deletion of their personal data including training records used to train machine learning models Unfortunately Deep Neural Network models,"['amnesiac', 'machine', 'learning', 'it', 'gives', 'eu', 'residents', 'the', 'ability', 'to', 'request', 'deletion', 'of', 'their', 'personal', 'data', 'including', 'training', 'records', 'used', 'to', 'train', 'machine', 'learning', 'models', 'unfortunately', 'deep', 'neural', 'network', 'models']","['amnesiac', 'machine', 'learning', 'it', 'gives', 'eu', 'residents', 'the', 'ability', 'to', 'request', 'deletion', 'of', 'their', 'personal', 'data', 'including', 'training', 'records', 'used', 'to', 'train', 'machine', 'learning', 'models', 'unfortunately', 'deep', 'neural', 'network', 'models']","['amnesiac', 'machine', 'learning', 'it', 'gives', 'eu', 'residents', 'the', 'ability', 'to', 'request', 'deletion', 'of', 'their', 'personal', 'data', 'including', 'training', 'records', 'used', 'to', 'train', 'machine', 'learning', 'models', 'unfortunately', 'deep', 'neural', 'network', 'models']",amnesiac machine learning it gives eu residents the ability to request deletion of their personal data including training records used to train machine learning models unfortunately deep neural network models
5,Designing nanotheranostics with machine learning,"Designing nanotheranostics with machine learning … As a key branch of artificial intelligence, machine learning (ML) provides a set of tools
capable of performing time-consuming and result-perception tasks, thus offering unique …",Designing nanotheranostics with machine learning As a key branch of artificial intelligence machine learning ML provides a set of tools capable of performing time consuming and result perception tasks thus offering unique,"['designing', 'nanotheranostics', 'with', 'machine', 'learning', 'as', 'a', 'key', 'branch', 'of', 'artificial', 'intelligence', 'machine', 'learning', 'ml', 'provides', 'a', 'set', 'of', 'tools', 'capable', 'of', 'performing', 'time', 'consuming', 'and', 'result', 'perception', 'tasks', 'thus', 'offering', 'unique']","['designing', 'nanotheranostics', 'with', 'machine', 'learning', 'as', 'key', 'branch', 'of', 'artificial', 'intelligence', 'machine', 'learning', 'ml', 'provides', 'set', 'of', 'tools', 'capable', 'of', 'performing', 'time', 'consuming', 'and', 'result', 'perception', 'tasks', 'thus', 'offering', 'unique']","['designing', 'nanotheranostics', 'with', 'machine', 'learning', 'as', 'key', 'branch', 'of', 'artificial', 'intelligence', 'machine', 'learning', 'ml', 'provides', 'set', 'of', 'tools', 'capable', 'of', 'performing', 'time', 'consuming', 'and', 'result', 'perception', 'tasks', 'thus', 'offering', 'unique']",designing nanotheranostics with machine learning as key branch of artificial intelligence machine learning ml provides set of tools capable of performing time consuming and result perception tasks thus offering unique
6,A guide to machine learning for biologists,"A guide to machine learning for biologists … A machine learning task is an objective specification for what we want a machine learning
model to accomplish. For example, for an experiment investigating the expression of genes …",A guide to machine learning for biologists A machine learning task is an objective specification for what we want a machine learning model to accomplish For example for an experiment investigating the expression of genes,"['a', 'guide', 'to', 'machine', 'learning', 'for', 'biologists', 'a', 'machine', 'learning', 'task', 'is', 'an', 'objective', 'specification', 'for', 'what', 'we', 'want', 'a', 'machine', 'learning', 'model', 'to', 'accomplish', 'for', 'example', 'for', 'an', 'experiment', 'investigating', 'the', 'expression', 'of', 'genes']","['guide', 'to', 'machine', 'learning', 'for', 'biologists', 'machine', 'learning', 'task', 'is', 'an', 'objective', 'specification', 'for', 'what', 'we', 'want', 'machine', 'learning', 'model', 'to', 'accomplish', 'for', 'example', 'for', 'an', 'experiment', 'investigating', 'the', 'expression', 'of', 'genes']","['guide', 'to', 'machine', 'learning', 'for', 'biologists', 'machine', 'learning', 'task', 'is', 'an', 'objective', 'specification', 'for', 'what', 'we', 'want', 'machine', 'learning', 'model', 'to', 'accomplish', 'for', 'example', 'for', 'an', 'experiment', 'investigating', 'the', 'expression', 'of', 'genes']",guide to machine learning for biologists machine learning task is an objective specification for what we want machine learning model to accomplish for example for an experiment investigating the expression of genes
7,Machine learning and deep learning: C. Janiesch et al.,"Machine learning and deep learning: C. Janiesch et al. … Deep learning is a machine learning concept based on … , deep learning models outperform
shallow machine learning … fundamentals of machine learning and deep learning to generate …",Machine learning and deep learning C Janiesch et al Deep learning is a machine learning concept based on deep learning models outperform shallow machine learning fundamentals of machine learning and deep learning to generate,"['machine', 'learning', 'and', 'deep', 'learning', 'c', 'janiesch', 'et', 'al', 'deep', 'learning', 'is', 'a', 'machine', 'learning', 'concept', 'based', 'on', 'deep', 'learning', 'models', 'outperform', 'shallow', 'machine', 'learning', 'fundamentals', 'of', 'machine', 'learning', 'and', 'deep', 'learning', 'to', 'generate']","['machine', 'learning', 'and', 'deep', 'learning', 'janiesch', 'et', 'al', 'deep', 'learning', 'is', 'machine', 'learning', 'concept', 'based', 'on', 'deep', 'learning', 'models', 'outperform', 'shallow', 'machine', 'learning', 'fundamentals', 'of', 'machine', 'learning', 'and', 'deep', 'learning', 'to', 'generate']","['machine', 'learning', 'and', 'deep', 'learning', 'janiesch', 'et', 'al', 'deep', 'learning', 'is', 'machine', 'learning', 'concept', 'based', 'on', 'deep', 'learning', 'models', 'outperform', 'shallow', 'machine', 'learning', 'fundamentals', 'of', 'machine', 'learning', 'and', 'deep', 'learning', 'to', 'generate']",machine learning and deep learning janiesch et al deep learning is machine learning concept based on deep learning models outperform shallow machine learning fundamentals of machine learning and deep learning to generate
8,Machine learning foundations,"Machine learning foundations … knowledge about machine learning by exploring learning theories, … of machine learning
algorithms: the supervised, the unsupervised, the reinforced, and the semi-supervised learning. …",Machine learning foundations knowledge about machine learning by exploring learning theories of machine learning algorithms the supervised the unsupervised the reinforced and the semi supervised learning,"['machine', 'learning', 'foundations', 'knowledge', 'about', 'machine', 'learning', 'by', 'exploring', 'learning', 'theories', 'of', 'machine', 'learning', 'algorithms', 'the', 'supervised', 'the', 'unsupervised', 'the', 'reinforced', 'and', 'the', 'semi', 'supervised', 'learning']","['machine', 'learning', 'foundations', 'knowledge', 'about', 'machine', 'learning', 'by', 'exploring', 'learning', 'theories', 'of', 'machine', 'learning', 'algorithms', 'the', 'supervised', 'the', 'unsupervised', 'the', 'reinforced', 'and', 'the', 'semi', 'supervised', 'learning']","['machine', 'learning', 'foundations', 'knowledge', 'about', 'machine', 'learning', 'by', 'exploring', 'learning', 'theories', 'of', 'machine', 'learning', 'algorithms', 'the', 'supervised', 'the', 'unsupervised', 'the', 'reinforced', 'and', 'the', 'semi', 'supervised', 'learning']",machine learning foundations knowledge about machine learning by exploring learning theories of machine learning algorithms the supervised the unsupervised the reinforced and the semi supervised learning
9,Financial machine learning,"Financial machine learning … We survey the nascent literature on machine learning in the study of financial markets. We
… in grasping machine learning tools, as well as for statisticians and machine learners seeking …",Financial machine learning We survey the nascent literature on machine learning in the study of financial markets We in grasping machine learning tools as well as for statisticians and machine learners seeking,"['financial', 'machine', 'learning', 'we', 'survey', 'the', 'nascent', 'literature', 'on', 'machine', 'learning', 'in', 'the', 'study', 'of', 'financial', 'markets', 'we', 'in', 'grasping', 'machine', 'learning', 'tools', 'as', 'well', 'as', 'for', 'statisticians', 'and', 'machine', 'learners', 'seeking']","['financial', 'machine', 'learning', 'we', 'survey', 'the', 'nascent', 'literature', 'on', 'machine', 'learning', 'in', 'the', 'study', 'of', 'financial', 'markets', 'we', 'in', 'grasping', 'machine', 'learning', 'tools', 'as', 'well', 'as', 'for', 'statisticians', 'and', 'machine', 'learners', 'seeking']","['financial', 'machine', 'learning', 'we', 'survey', 'the', 'nascent', 'literature', 'on', 'machine', 'learning', 'in', 'the', 'study', 'of', 'financial', 'markets', 'we', 'in', 'grasping', 'machine', 'learning', 'tools', 'as', 'well', 'as', 'for', 'statisticians', 'and', 'machine', 'learners', 'seeking']",financial machine learning we survey the nascent literature on machine learning in the study of financial markets we in grasping machine learning tools as well as for statisticians and machine learners seeking
10,Open-environment machine learning,"Open-environment machine learning … open learning or open ML for short. Note that the name ‘open-world machine learning’ was
used to refer to machine learning with unseen class [1] or outof-distribution (OOD) data [2]. In …",Open environment machine learning open learning or open ML for short Note that the name open world machine learning was used to refer to machine learning with unseen class 1 or outof distribution OOD data 2 In,"['open', 'environment', 'machine', 'learning', 'open', 'learning', 'or', 'open', 'ml', 'for', 'short', 'note', 'that', 'the', 'name', 'open', 'world', 'machine', 'learning', 'was', 'used', 'to', 'refer', 'to', 'machine', 'learning', 'with', 'unseen', 'class', '1', 'or', 'outof', 'distribution', 'ood', 'data', '2', 'in']","['open', 'environment', 'machine', 'learning', 'open', 'learning', 'or', 'open', 'ml', 'for', 'short', 'note', 'that', 'the', 'name', 'open', 'world', 'machine', 'learning', 'was', 'used', 'to', 'refer', 'to', 'machine', 'learning', 'with', 'unseen', 'class', 'or', 'outof', 'distribution', 'ood', 'data', 'in']","['open', 'environment', 'machine', 'learning', 'open', 'learning', 'or', 'open', 'ml', 'for', 'short', 'note', 'that', 'the', 'name', 'open', 'world', 'machine', 'learning', 'was', 'used', 'to', 'refer', 'to', 'machine', 'learning', 'with', 'unseen', 'class', 'or', 'outof', 'distribution', 'ood', 'data', 'in']",open environment machine learning open learning or open ml for short note that the name open world machine learning was used to refer to machine learning with unseen class or outof distribution ood data in
