No.,Query,Kategori Query,Rank,Article ID,Kategori Artikel,Judul Artikel,Abstrak,Similarity Score,Threshold Awal,Evaluator 1,Evaluator 2,Evaluator 3,Label Final,Status Final,Catatan Evaluator
1.0,machine learning,Machine Learning,1.0,3.0,machine learning,"Penerapan Machine Learning, Deep Learning, Dan Data Mining Dalam Deteksi Kecurangan Laporan Keuangan-a Systematic Literature Review","… the application of machine learning, deep learning, and data … provides evidence that machine
learning, deep learning, and … New technologies such as machine learning, deep learning, …",0.4749994528109339,1.0,1.0,1.0,1.0,1,Relevan,
2.0,machine learning,Machine Learning,2.0,30.0,machine learning,Machine learning and deep learning: C. Janiesch et al.,"… Deep learning is a machine learning concept based on … , deep learning models outperform
shallow machine learning … fundamentals of machine learning and deep learning to generate …",0.4694772276957452,1.0,1.0,1.0,1.0,1,Relevan,
3.0,machine learning,Machine Learning,3.0,13.0,machine learning,Penerapan Machine Learning Untuk Mengategorikan Sampah Plastik Rumah Tangga,"… With the help of Machine Learning and Deep Learning, we … Machine learning dapat
diterapkan untuk mengolah data … Data yang tersimpan dalam Machine learning juga dapat …",0.445702001665368,1.0,1.0,1.0,1.0,1,Relevan,
4.0,machine learning,Machine Learning,4.0,40.0,machine learning,An overview of machine learning classification techniques,"… statistical learning and pattern recognition, machine learning now … between statistics and
machine learning is evident, with … core of machine learning lies the concept of self-learning, a …",0.4319989970640131,1.0,1.0,1.0,1.0,1,Relevan,
5.0,machine learning,Machine Learning,5.0,1.0,machine learning,Penerapan machine learning dalam prediksi tingkat kasus penyakit di Indonesia,"… menjabarkan implementasi machine learning untuk memprediksi … kasus, pengaplikasian
machine learning dengan pemodelan ARIMA … Kemudian, implementasi machine learning untuk …",0.40515570735457307,1.0,1.0,1.0,1.0,1,Relevan,
6.0,machine learning,Machine Learning,6.0,23.0,machine learning,Penerapan Metode Machine Learning dalam Mengidentifikasi Berita Hoaks,"… method using a machine learning approach on news data. … sources and applying machine
learning algorithms, including … The results of this research show that the machine learning …",0.38483323745951536,1.0,1.0,1.0,1.0,1,Relevan,
7.0,machine learning,Machine Learning,7.0,2.0,machine learning,Tinjauan Pustaka Sistematis: Penerapan Metode Machine Learning untuk Deteksi Bencana Banjir,"… Machine Learning dapat mempelajari pola data historis yang ada, sehingga dengan
menggunakan metode machine learning … Hasil penelitian menunjukan bahwa Machine Learning …",0.38223123941337894,1.0,1.0,1.0,1.0,1,Relevan,
8.0,machine learning,Machine Learning,8.0,22.0,machine learning,Pemanfaatan machine learning di bidang kesehatan,"… pesat, machine learning menjadi salah satu pendekatan penting dalam berbagai bidang,
termasuk kesehatan. Machine learning … untuk mengulas penerapan machine learning dalam …",0.37153342877230067,1.0,1.0,1.0,1.0,1,Relevan,
9.0,machine learning,Machine Learning,9.0,21.0,machine learning,Penerapan Teknologi Machine Learning dalam Deteksi Dini Penyakit Pada Tanaman Pangan,"… This study aims to explore the application of machine learning … then analyzed using several
machine learning algorithms, such … The results show that the application of machine learning …",0.3672960286764896,1.0,1.0,1.0,1.0,1,Relevan,
10.0,machine learning,Machine Learning,10.0,38.0,machine learning,A survey on dataset quality in machine learning,"… of dataset quality in machine learning, including the definition of … of machine learning,
which can help improve the accuracy, efficiency, and generalization ability of machine learning …",0.3607405084492903,1.0,1.0,1.0,1.0,1,Relevan,
