query,kategori_query,rank,article_id,article_category,title,abstract,similarity_score,threshold_relevan,relevan
machine learning,Machine Learning,1,6,machine learning,Machine learning and deep learning: C. Janiesch et al.,"… Deep learning is a machine learning concept based on … , deep learning models outperform
shallow machine learning … fundamentals of machine learning and deep learning to generate …",0.4690637634059891,1,1
machine learning,Machine Learning,2,37,machine learning,When machine learning meets privacy: A survey and outlook,"… problems and machine learning is … machine learning. The survey covers three categories
of interactions between privacy and machine learning: (i) private machine learning, (ii) machine …",0.4670150269304177,1,1
machine learning,Machine Learning,3,17,machine learning,An overview of machine learning classification techniques,"… statistical learning and pattern recognition, machine learning now … between statistics and
machine learning is evident, with … core of machine learning lies the concept of self-learning, a …",0.4464583976938805,1,1
machine learning,Machine Learning,4,50,machine learning,"Impact of machine learning on management, healthcare and agriculture","… Machine learning and deep learning are two of the most often … Machine learning models
for the complexity and diversity of … This article discusses machine learning and artificial …",0.4450174616102004,1,1
machine learning,Machine Learning,5,33,machine learning,Financial applications of machine learning: A literature review,"… of machine learning and deep learning in … on machine learning in finance. The study finally
points out possible research directions which might lead to new inquiries in machine learning …",0.4178788886444453,1,1
machine learning,Machine Learning,6,36,machine learning,Scientific machine learning benchmarks,"… frameworks, computer architectures and machine learning models… metrics for the application
of machine learning methods to open, … Here, we introduce the concept of machine learning …",0.4164912781935106,1,1
machine learning,Machine Learning,7,15,machine learning,Research on machine learning with algorithms and development,"… This study provides a relatively systematic introduction to machine learning. Firstly, it … of
machine learning, and then focuses on the analysis of classical algorithms in machine learning. …",0.4090840512862514,1,1
machine learning,Machine Learning,8,23,machine learning,Machine learning in chemical engineering: A perspective,"… and application of machine learning with a focus on deep learning and probabilistic models.
… algorithms of statistical machine learning, especially unsupervised deep learning, and its …",0.4056591067118907,1,1
machine learning,Machine Learning,9,21,machine learning,Machine learning and applications in microbiology,"… Applying machine learning to address biological problems is expected … machine learning
practitioner. These key points are further reinforced with an evaluation of how machine learning …",0.3866033764588349,1,1
machine learning,Machine Learning,10,40,machine learning,Machine learning and deep learning applications-a vision,"… Deep learning had been analysed and implemented in … survey for machine learning along
with deep learning applications in … , for machine learning along with deep neural learning are …",0.3827207620661209,1,1
machine learning,Machine Learning,11,8,machine learning,Machine learning foundations,"… knowledge about machine learning by exploring learning theories, … of machine learning
algorithms: the supervised, the unsupervised, the reinforced, and the semi-supervised learning. …",0.3768671759336429,1,1
machine learning,Machine Learning,12,10,machine learning,Using machine learning to detect misstatements,"… Intuitively, a machine learning algorithm can be taught to … Machine learning algorithms
capture the relationship … We also examine a number of alternative machine learning approaches …",0.3645017094318372,1,1
machine learning,Machine Learning,13,38,machine learning,"Machine learning: Algorithms, real-world applications and research directions","… learning methods, can intelligently analyze the data on a large scale. In this paper, we present
a comprehensive view on these machine learning … different machine learning techniques …",0.3556726740975019,1,1
machine learning,Machine Learning,14,34,machine learning,Machine learning for chemical reactions,"… Machine learning (ML) … using machine-learned neural network potentials. This review
provides an overview of the questions that can and have been addressed using machine learning …",0.3542395014595907,1,1
machine learning,Machine Learning,15,19,machine learning,A survey of human-in-the-loop for machine learning,"… posed by machine learning … machine learning. Human-in-the-loop is an area that we see
as increasingly important in future research due to the knowledge learned by machine learning …",0.3516791079563625,1,1
machine learning,Machine Learning,16,24,machine learning,Human-in-the-loop machine learning: a state of the art,"… Researchers are defining new types of interactions between humans and machine learning
… machine learning (HITL-ML) (Munro 2020). The idea is not only to make machine learning …",0.3500002452069716,1,1
machine learning,Machine Learning,17,14,machine learning,A survey on dataset quality in machine learning,"… of dataset quality in machine learning, including the definition of … of machine learning,
which can help improve the accuracy, efficiency, and generalization ability of machine learning …",0.3451870252650358,1,1
machine learning,Machine Learning,18,25,machine learning,Causality for machine learning,"… for Machine Learning In spite of all recent successes, if we compare what machine learning
… This shortcoming is not too surprising since machine learning often disregards information …",0.3449930135921896,1,1
machine learning,Machine Learning,19,1,machine learning,Machine learning for microbiologists,"… how to evaluate a machine learning model and how … machine learning-based work. The
topics presented in this work will allow microbiologists to grasp the potential of machine learning …",0.3428471579010775,1,1
machine learning,Machine Learning,20,2,machine learning,What is machine learning?,"… that one can employ in machine learning (ML). The required … of two learning types: supervised
or unsupervised learning. … skills through either automated learning or learning via human …",0.3422806890887676,1,1
deep learning,Machine Learning,1,6,machine learning,Machine learning and deep learning: C. Janiesch et al.,"… Deep learning is a machine learning concept based on … , deep learning models outperform
shallow machine learning … fundamentals of machine learning and deep learning to generate …",0.6272731457853866,1,1
deep learning,Machine Learning,2,40,machine learning,Machine learning and deep learning applications-a vision,"… Deep learning had been analysed and implemented in … survey for machine learning along
with deep learning applications in … , for machine learning along with deep neural learning are …",0.6028670654096162,1,1
deep learning,Machine Learning,3,23,machine learning,Machine learning in chemical engineering: A perspective,"… and application of machine learning with a focus on deep learning and probabilistic models.
… algorithms of statistical machine learning, especially unsupervised deep learning, and its …",0.4257341885372151,1,1
deep learning,Machine Learning,4,155,web application,Front-end deep learning web apps development and deployment: a review,"… of these deep-learning web apps to raise awareness of the … web applications divided into
seven categories to show deep learning potential on the front end. These include web apps for …",0.3439477352020011,1,1
deep learning,Machine Learning,5,50,machine learning,"Impact of machine learning on management, healthcare and agriculture","… Machine learning and deep learning are two of the most often … Machine learning models
for the complexity and diversity of … This article discusses machine learning and artificial …",0.2634996955654818,0,0
deep learning,Machine Learning,6,85,mobile application,A new mobile application of agricultural pests recognition using deep learning in cloud computing system,"… mobile application to automatically classify pests using a deep-learning solution for supporting
specialists and farmers. The developed application … our developed application for on-line …",0.2486077926412345,0,0
deep learning,Machine Learning,7,33,machine learning,Financial applications of machine learning: A literature review,"… of machine learning and deep learning in … on machine learning in finance. The study finally
points out possible research directions which might lead to new inquiries in machine learning …",0.2474306503449107,0,0
deep learning,Machine Learning,8,32,machine learning,Machine learning at the network edge: A survey,"… This section describes the low-power hardware that have been used in edge machine
learning systems. High performance from a deep learning application is only achievable when an …",0.1914430342641754,0,0
deep learning,Machine Learning,9,3,machine learning,Amnesiac machine learning,"… It gives EU residents the ability to request deletion of their personal data, including training
records used to train machine learning models. Unfortunately, Deep Neural Network models …",0.1552293068476865,0,0
deep learning,Machine Learning,10,114,cyber security,Deep reinforcement learning for cyber security,"… , and especially high-dimensional cyber defense problems. This article presents a … for cyber
security. We touch on different vital aspects, including DRL-based security methods for cyber…",0.1468746592681351,0,0
deep learning,Machine Learning,11,2,machine learning,What is machine learning?,"… that one can employ in machine learning (ML). The required … of two learning types: supervised
or unsupervised learning. … skills through either automated learning or learning via human …",0.1400495570595881,0,0
deep learning,Machine Learning,12,17,machine learning,An overview of machine learning classification techniques,"… statistical learning and pattern recognition, machine learning now … between statistics and
machine learning is evident, with … core of machine learning lies the concept of self-learning, a …",0.1367987528274827,0,0
deep learning,Machine Learning,13,157,web application,DeepCrop: Deep learning-based crop disease prediction with web application,"… a smart web application for real-life crop disease prediction. The proposed web application
aims to … The proposed application uses the ResNet50 transfer learning model at its heart to …",0.1359839867113224,0,0
deep learning,Machine Learning,14,61,mobile application,Deep learning methods for accurate skin cancer recognition and mobile application,"… to be used in a mobile application. To be able to build an effective mobile application, it is …
for our mobile application to be able to classify skin lesions using a common smartphone. …",0.126858744808214,0,0
deep learning,Machine Learning,15,8,machine learning,Machine learning foundations,"… knowledge about machine learning by exploring learning theories, … of machine learning
algorithms: the supervised, the unsupervised, the reinforced, and the semi-supervised learning. …",0.1215821752048769,0,0
deep learning,Machine Learning,16,172,web application,Securing web applications against XSS and SQLi attacks using a novel deep learning approach,"… all web application attacks, SQL injection and XSS attacks are common, which may lead to
severe damage to Web application data or web … for securing web applications from both cross-…",0.1112672187710486,0,0
deep learning,Machine Learning,17,175,web application,A deep learning model for cotton disease prediction using fine-tuning with smart web application in agriculture,"Cotton is known as ‘white gold’ in the agricultural industry. Agriculture is the primary source
of economic income in Bangladesh and the country's economy is heavily dependent on …",0.1080458154776239,0,0
deep learning,Machine Learning,18,38,machine learning,"Machine learning: Algorithms, real-world applications and research directions","… learning methods, can intelligently analyze the data on a large scale. In this paper, we present
a comprehensive view on these machine learning … different machine learning techniques …",0.1025430972998833,0,0
deep learning,Machine Learning,19,37,machine learning,When machine learning meets privacy: A survey and outlook,"… problems and machine learning is … machine learning. The survey covers three categories
of interactions between privacy and machine learning: (i) private machine learning, (ii) machine …",0.102079727572321,0,0
deep learning,Machine Learning,20,36,machine learning,Scientific machine learning benchmarks,"… frameworks, computer architectures and machine learning models… metrics for the application
of machine learning methods to open, … Here, we introduce the concept of machine learning …",0.102000392255842,0,0
