id,title,abstract,authors,year,source,category,pdf_url,url,scrape_status,document_text,similarity_score,occurrence,rank,interpretation,is_pdf,access_url
111,Deep learning methods for accurate skin cancer recognition and mobile application,"… to be used in a mobile application. To be able to build an effective mobile application, it is …
for our mobile application to be able to classify skin lesions using a common smartphone. …","I Kousis, I Perikos, I Hatzilygeroudis, M Virvou",2022,Electronics,mobile application,https://www.mdpi.com/2079-9292/11/9/1294,https://www.mdpi.com/2079-9292/11/9/1294,metadata_only,deep learning methods accurate skin cancer recognition mobile application used mobile application able build effective mobile application our mobile application able classify skin lesions using common smartphone,0.3847031444357784,8,1,Relevan Sedang,False,https://www.mdpi.com/2079-9292/11/9/1294
73,Open Lab: A web application for running and sharing online experiments,"… as a web application on a desktop computer (the “Install app” link is displayed in the top
navigation bar). Progressive web application technology makes the application accessible via …",Y Shevchenko,2022,Behavior Research Methods,web application,https://link.springer.com/content/pdf/10.3758/s13428-021-01776-2.pdf,https://link.springer.com/article/10.3758/s13428-021-01776-2,pdf_downloaded,open lab web application running sharing online experiments web application desktop computer install app link displayed top navigation bar progressive web application technology makes application accessible via,0.24247683521874555,4,2,Rendah,True,https://link.springer.com/content/pdf/10.3758/s13428-021-01776-2.pdf
107,The role of mobile application acceptance in shaping e-customer service,"… This study focused on examining the role of mobile application (app) … the role of mobile app
acceptance in shaping e-customer service. The multiple features associated with mobile app …","LT Khrais, AM Alghamdi",2021,Future Internet,mobile application,https://www.mdpi.com/1999-5903/13/3/77,https://www.mdpi.com/1999-5903/13/3/77,metadata_only,role mobile application acceptance shaping customer service study focused examining role mobile application app role mobile app acceptance shaping customer service multiple features associated mobile app,0.22676258201588667,6,3,Rendah,False,https://www.mdpi.com/1999-5903/13/3/77
56,DeepCrop: Deep learning-based crop disease prediction with web application,"… a smart web application for real-life crop disease prediction. The proposed web application
aims to … The proposed application uses the ResNet50 transfer learning model at its heart to …","MM Islam, MAA Adil, MA Talukder…",2023,Journal of Agriculture …,web application,https://www.sciencedirect.com/science/article/pii/S2666154323002715,https://www.sciencedirect.com/science/article/pii/S2666154323002715,metadata_only,deepcrop deep learning based crop disease prediction web application smart web application real life crop disease prediction proposed web application aims proposed application uses resnet50 transfer learning model its heart,0.2222181676524647,4,4,Rendah,False,https://www.sciencedirect.com/science/article/pii/S2666154323002715
149,Perancangan Ulang UI & UX Menggunakan Metode Design Thinking Pada Aplikasi Siakadu Mahasiswa Berbasis Mobile,"… yaitu mobile apps / aplikasi mobile. Aplikasi mobile juga biasa disebut dengan mobile
apps, yaitu istilah yang digunakan untuk medeskripsikan aplikasi internet yang berjalan …","FC Wardana, IGLPE Prismana",2022,Journal of Emerging …,mobile application,https://ejournal.unesa.ac.id/index.php/JEISBI/article/download/47740/39826,https://ejournal.unesa.ac.id/index.php/JEISBI/article/view/47740,pdf_downloaded,ancang ulang ui ux guna metode design thinking aplikasi siakadu mahasiswa bas mobile mobile apps aplikasi mobile aplikasi mobile biasa sebut mobile apps istilah guna medeskripsikan aplikasi internet jalan,0.21022064959849066,5,5,Rendah,False,https://ejournal.unesa.ac.id/index.php/JEISBI/article/view/47740
116,Augmented reality technology adoption: Case of a mobile application in Turkey,"… ) technology has become widespread in mobile devices. As with user … of applications in
mobile augmented reality (MAR) applications. In this study, the factors affecting the use of mobile …","M Yavuz, E Çorbacıoğlu, AN Başoğlu, TU Daim…",2021,Technology in …,mobile application,,https://www.sciencedirect.com/science/article/pii/S0160791X21000737,metadata_only,augmented reality technology adoption case mobile application turkey technology has become widespread mobile devices user applications mobile augmented reality mar applications study factors affecting use mobile,0.2079947272488113,5,6,Rendah,False,https://www.sciencedirect.com/science/article/pii/S0160791X21000737
126,Systematic literature review analisis metode agile dalam pengembangan aplikasi mobile,"… aplikasi mobile khususnya tren model metode jenis agile yang digunakan dalam pengembangan
aplikasi berbasis mobile dan jenis aplikasi berbasis mobile … aplikasi mobile dengan …","I Larasati, AN Yusril, P Al Zukri",2021,Sistemasi: Jurnal Sistem …,mobile application,https://sistemasi.ftik.unisi.ac.id/index.php/stmsi/article/download/1237/376,https://sistemasi.ftik.unisi.ac.id/index.php/stmsi/article/view/1237,pdf_downloaded,systematic literature review analisis metode agile kembang aplikasi mobile aplikasi mobile khusus tren model metode jenis agile guna kembang aplikasi bas mobile jenis aplikasi bas mobile aplikasi mobile,0.20070794880797635,5,7,Rendah,False,https://sistemasi.ftik.unisi.ac.id/index.php/stmsi/article/view/1237
136,Analisis Technology Acceptance Model (TAM) Terhadap Pengguna Aplikasi Mobile Banking,"… The research was conducted on mobile banking application users in Tegal City using a
purposive … to improve mobile banking services in order to increase the number of mobile banking …","A Siswoyo, BS Irianto",2023,Owner: Riset dan Jurnal Akuntansi,mobile application,https://owner.polgan.ac.id/index.php/owner/article/download/1440/822,https://www.owner.polgan.ac.id/index.php/owner/article/view/1440,pdf_downloaded,analisis technology acceptance model tam guna aplikasi mobile banking research conducted mobile banking application users tegal city using purposive improve mobile banking services order increase number mobile banking,0.18850348297547898,5,8,Rendah,False,https://www.owner.polgan.ac.id/index.php/owner/article/view/1440
146,Analisis kualitas layanan pada aplikasi Mobile JKN dengan tingkat kepuasan pengguna Mobile JKN BPJS Kesehatan di Kabupaten Demak,"… aplikasi mobile JKN dengan kepuasan pengguna mobile … hubungan kualitas layanan aplikasi
mobile JKN dan kepuasan … pada aplikasi mobile JKN dengan kepuasan pengguna mobile …","S Rohmah, RT Desty, W Arumsari",2024,Indonesian Journal of Health …,mobile application,https://e-journal.ivet.ac.id/index.php/ijheco/article/download/3161/2273,https://www.academia.edu/download/116715121/3161_325_13247_1_10_20240711.pdf,pdf_downloaded,analisis kualitas layan aplikasi mobile jkn tingkat puas guna mobile jkn bpjs sehat kabupaten demak aplikasi mobile jkn puas guna mobile hubung kualitas layan aplikasi mobile jkn puas aplikasi mobile jkn puas guna mobile,0.18849975037100877,7,9,Rendah,False,https://www.academia.edu/download/116715121/3161_325_13247_1_10_20240711.pdf
130,Peluang Penelitian UI/UX pada Pengembangan Aplikasi Mobile: Systematic literature review,"… oleh developer mobile apps [1]. Banyaknya aplikasi mobile yang ada di era digital ini
membuat para pengembang aplikasi mobile giat untuk membuat aplikasi yang menarik dan …","UU Sufandi, D Trihapningsari, W Mellysa",2022,Techno. Com,mobile application,https://www.academia.edu/download/99384648/3094.pdf,https://www.academia.edu/download/99384648/3094.pdf,metadata_only,peluang teliti ui ux kembang aplikasi mobile systematic literature review developer mobile apps banyak aplikasi mobile era digital buat kembang aplikasi mobile giat buat aplikasi tarik,0.18570229679307165,4,10,Rendah,True,https://www.academia.edu/download/99384648/3094.pdf
