id,title,abstract,authors,source,year,citations,url,scraped_at,scrape_status,pdf_url
1,pembuatan website sekolah menengah pertama negeri 3 delanggu dengan menggunakan php dan mysql,"… Praktik ini akan dilakukan pembuatan website sekolah SMP Negeri 3 … SMP Negeri 3
Delanggu sekarang sudah memiliki website … Dengan adanya website tersebut maka kesalahan-…",M Suhartanto,ijns.org,2012,370,http://ijns.org/journal/index.php/speed/article/view/1156,2026-02-01 00:29:16.250012+00,pdf_downloaded,http://ijns.org/journal/index.php/speed/article/viewFile/1156/1144
2,Pembuatan Website Sebagai Media Promosi Yang Terpercaya,"… pembuatan media promosi dan pemasaran berbasis website. Tujuan dari penelitian ini
adalah untuk membuat website … faktor apa saja dalam pembuatan website. Sehingga dengan …",AD Riyanto,2015 - neliti.com,2015,62,https://www.neliti.com/publications/172765/pembuatan-website-sebagai-media-promosi-yang-terpercaya,2026-02-01 00:29:25.74391+00,pdf_url_only,https://www.academia.edu/download/86098382/229630438.pdf
3,Otodidak Web Programming: Membuat Website Edutainment,"… Tahap Assembly adalah tahap pembuatan semua objek atau bahan multimedia.
Pembuatan aplikasi didasarkan pada tahap design, bagan alir, dan/atau struktur navigasi. …",MI Saad,books.google.com,2020,296,https://books.google.com/books?hl=id&lr=&id=I73NDwAAQBAJ&oi=fnd&pg=PP1&dq=pembuatan+website&ots=1U48RrPAOe&sig=U8KUde8cn5VlACAs9huOwlYEdoc,2026-02-01 00:29:29.729881+00,metadata_only,
4,Membuat website powerfull menggunakan PHP,"… Hal yang perlu diperhatikan dalam pembuatan web adalah kreatifitas dalam membangun
komposisi warna dan gambar, agar tampilan web terlihat lebih menarik. Kekuatan sebuah …",DP Oktavian,books.google.com,2013,114,https://books.google.com/books?hl=id&lr=&id=rplCEAAAQBAJ&oi=fnd&pg=PA5&dq=pembuatan+website&ots=-20_X_yxJL&sig=bn5PKeRznJKT4XsWTYr2UObgv2w,2026-02-01 00:29:42.953641+00,metadata_only,
5,Pembuatan Website Katalog Produk UMKM Untuk Pengembangan Pemasaran dan Promosi Produk Kuliner,"… perguruan tinggi, kami melakukan kegiatan pembuatan website sebagai media, sarana
maupun … internet serta pengelolaan website sebagai media pemasaran yang mudah dan luas. …","FRA Bukit, GG AS, I Irvan…",jurnalnasional.ump.ac.id,2019,90,https://jurnalnasional.ump.ac.id/index.php/JPPM/article/view/4317,2026-02-01 00:29:55.592919+00,pdf_url_only,https://jurnalnasional.ump.ac.id/index.php/JPPM/article/viewFile/4317/2684
6,Pembuatan Website Profil Pada Sekolah Menengah Pertama (SMP) Negeri 2 Kartasura,"… yang belum memiliki website dan dalam penyampaian informasi … Untuk itu, perlu dibuatkan
website profil yang dapat … pokok bahasan yaitu pembuatan website untuk mengemukakan …","N Marlena, D Sasongko",ijns.org,2012,58,http://ijns.org/journal/index.php/speed/article/view/874,2026-02-01 00:30:00.315362+00,pdf_url_only,http://ijns.org/journal/index.php/speed/article/viewFile/874/862
7,Kiat jitu membuat website tanpa modal,"… website terhosting gratisan berjenis blog, maka multiply merupakan layanan pembuatan
website terhosting gratisan berjenis website … dan sharing file menggunakan media website. …",A Zaki,books.google.com,2009,90,https://books.google.com/books?hl=id&lr=&id=IjRE7wePwhAC&oi=fnd&pg=PA153&dq=pembuatan+website&ots=vsVxvzOoUh&sig=f__qewuGJ6oq5U5FQP1ScPwwkMU,2026-02-01 00:30:03.262494+00,metadata_only,
8,"Pembuatan Website Sebagai Sarana Promosi Pariwisata:(Studi Kasus: Pantai Jatimalang, Purworejo)","… Website merupakan salah satu sarana dalam mempromosikan Pantai Jatimalang tersebut.
Dengan adanya website … Website tersebut tidak hanya berisi tentang informasi keindahan …","SJ Kuryanti, N Indriani",jurnal.polgan.ac.id,2018,68,https://www.jurnal.polgan.ac.id/index.php/remik/article/view/116,2026-02-01 00:30:17.682538+00,pdf_downloaded,https://www.jurnal.polgan.ac.id/index.php/remik/article/download/116/64
9,Pembuatan Website sebagai Media Pencitraan dan Promosi Pada Desa Kamiri Kecamatan Balusu Kabupten Barru,"… dimanfaatkan secara efektif adalah pembuatan website desa. Website desa mampu menjadi
… Dalam hal ini, pembuatan sebuah website desa yang menarik dan informatif menjadi …","S Sudirman, A Fauzan…",jurnal.fikom.umi.ac.id,2023,27,https://jurnal.fikom.umi.ac.id/index.php/ILKOMAS/article/view/1765,2026-02-01 00:30:22.135606+00,pdf_url_only,https://jurnal.fikom.umi.ac.id/index.php/ILKOMAS/article/download/1765/528
10,Pengembangan dan Pembuatan Website: Sebuah Tinjauan Literatur,"… website harus melalui berbagai proses terlebih dahulu sebelum bisa menjadi sebuah website.
… ini akan meninjau berbagai macam proses pengembangan serta pembuatan website. …",KIR Costa,researchgate.net,2022,21,https://www.researchgate.net/profile/Kevin-Rui-Costa/publication/359815377_Pengembangan_dan_Pembuatan_Website_Sebuah_Tinjauan_Literatur/links/624fe4d8ef0134206660a3c2/Pengembangan-dan-Pembuatan-Website-Sebuah-Tinjauan-Literatur.pdf,2026-02-01 00:30:25.849635+00,pdf_url_only,https://www.researchgate.net/profile/Kevin-Rui-Costa/publication/359815377_Pengembangan_dan_Pembuatan_Website_Sebuah_Tinjauan_Literatur/links/624fe4d8ef0134206660a3c2/Pengembangan-dan-Pembuatan-Website-Sebuah-Tinjauan-Literatur.pdf
11,Otodidak Web Programming: Membuat Website Edutainment,"… Tahap Assembly adalah tahap pembuatan semua objek atau bahan multimedia.
Pembuatan aplikasi didasarkan pada tahap design, bagan alir, dan/atau struktur navigasi. …",MI Saad,books.google.com,2020,296,https://books.google.com/books?hl=id&lr=&id=I73NDwAAQBAJ&oi=fnd&pg=PP1&dq=pembuatan+website&ots=1U5-JmQrLf&sig=-f3URTTQrFOkNkOpdB-BXVngvn0,2026-02-02 18:10:29.651728+00,metadata_only,
12,Membuat website powerfull menggunakan PHP,"… Hal yang perlu diperhatikan dalam pembuatan web adalah kreatifitas dalam membangun
komposisi warna dan gambar, agar tampilan web terlihat lebih menarik. Kekuatan sebuah …",DP Oktavian,books.google.com,2013,114,https://books.google.com/books?hl=id&lr=&id=rplCEAAAQBAJ&oi=fnd&pg=PA5&dq=pembuatan+website&ots=-21RPVzoGM&sig=BAEMHBAudpNoMVhM5KPuh9w8MzU,2026-02-02 18:10:43.734083+00,metadata_only,
13,Kiat jitu membuat website tanpa modal,"… website terhosting gratisan berjenis blog, maka multiply merupakan layanan pembuatan
website terhosting gratisan berjenis website … dan sharing file menggunakan media website. …",A Zaki,books.google.com,2009,90,https://books.google.com/books?hl=id&lr=&id=IjRE7wePwhAC&oi=fnd&pg=PA153&dq=pembuatan+website&ots=vsWonuPfRi&sig=QvEuOKxvQPkKrn_68XkeYMwTQk0,2026-02-02 18:10:56.962757+00,metadata_only,
14,Pembuatan website e-commerce pada distro java trend,"… The purpose of this project is to build a Java Distro Website Sales Trend that has a function,
among others. Build e-commerce applications to assist management in making distributions …","SPM Handayani, BE Purnama",ijns.org,2013,53,http://ijns.org/journal/index.php/seruni/article/view/715,2026-02-02 18:11:28.228325+00,pdf_url_only,http://www.ijns.org/journal/index.php/seruni/article/view/715/704
